epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.012,1.03503,3.51936,1.14937,0.00363,0.9899,0.37401,0.1972,1.0142,3.28508,1.11471,0.000651163,0.000651163,0.000651163
2,195.637,1.13317,3.16823,1.22475,0.43836,0.20202,0.16422,0.05898,1.60456,3.87227,1.76031,0.00129174,0.00129174,0.00129174
3,297.575,1.1868,3.80777,1.31416,0.40263,0.32323,0.28643,0.20478,1.25907,3.61084,1.55443,0.00190591,0.00190591,0.00190591
4,399.848,1.29183,2.67271,1.39756,0.1025,0.10101,0.06284,0.02428,1.46613,7.50018,2.04475,0.0018812,0.0018812,0.0018812
5,498.957,1.246,2.31573,1.33817,0.42455,0.15152,0.16959,0.08746,1.28391,3.67971,1.45204,0.0018416,0.0018416,0.0018416
6,579.796,1.28997,2.26871,1.37617,0.38245,0.29402,0.33042,0.22159,1.19447,2.87705,1.33684,0.001802,0.001802,0.001802
7,661.794,1.31703,2.09988,1.3752,0.428,0.55556,0.4268,0.24178,1.24222,2.0934,1.4095,0.0017624,0.0017624,0.0017624
8,745.452,1.28097,2.05077,1.38968,0.62931,0.65657,0.66749,0.4426,1.22194,1.71921,1.39314,0.0017228,0.0017228,0.0017228
9,827.274,1.26792,1.8841,1.35173,0.54605,0.75335,0.57876,0.37117,1.18588,1.76593,1.38392,0.0016832,0.0016832,0.0016832
10,907.194,1.26326,1.87663,1.34054,0.57382,0.50505,0.4983,0.31527,1.07494,2.21703,1.28845,0.0016436,0.0016436,0.0016436
11,987.078,1.11499,1.64272,1.24416,0.60962,0.45455,0.48786,0.32839,1.05261,1.79997,1.24296,0.001604,0.001604,0.001604
12,1067.98,1.16323,1.52518,1.26832,0.62213,0.70707,0.6812,0.49806,1.02743,1.36334,1.23445,0.0015644,0.0015644,0.0015644
13,1150.99,1.09362,1.42361,1.23621,0.5483,0.67677,0.61386,0.42764,1.0508,1.62583,1.21658,0.0015248,0.0015248,0.0015248
14,1234.13,1.10027,1.55066,1.22976,0.76363,0.71794,0.80633,0.57992,1.0609,1.26535,1.21492,0.0014852,0.0014852,0.0014852
15,1318.26,1.16279,1.54001,1.2773,0.76188,0.58586,0.71501,0.53157,1.03861,1.53979,1.20241,0.0014456,0.0014456,0.0014456
16,1401.21,1.07571,1.37465,1.17953,0.77013,0.72727,0.81526,0.61857,0.93592,1.10998,1.16568,0.001406,0.001406,0.001406
17,1482.85,1.00212,1.29134,1.15312,0.97389,0.69697,0.8297,0.63497,0.92042,1.13483,1.14342,0.0013664,0.0013664,0.0013664
18,1565.4,1.02679,1.20084,1.20501,0.87574,0.71189,0.82844,0.65178,0.88549,1.00269,1.13289,0.0013268,0.0013268,0.0013268
19,1647.72,1.03915,1.23216,1.17858,0.77538,0.74747,0.82607,0.60837,0.9518,1.20992,1.152,0.0012872,0.0012872,0.0012872
