epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3636,1.40232,3.27115,1.53295,0.6796,0.24896,0.24673,0.1465,1.46944,2.34449,1.35536,0.000361721,0.000361721,0.000361721
2,58.7137,1.3437,1.84645,1.42933,0.47543,0.5411,0.38703,0.20097,1.6119,2.427,1.5957,0.000727223,0.000727223,0.000727223
3,86.105,1.39548,1.67204,1.42634,0.20116,0.54401,0.23688,0.1292,1.67256,10.0895,1.6969,0.00108784,0.00108784,0.00108784
4,111.757,1.38916,1.49329,1.41637,0.42856,0.46304,0.34442,0.18197,1.52446,1.97743,1.50643,0.001089,0.001089,0.001089
5,136.974,1.35443,1.41616,1.42246,0.30389,0.53061,0.30019,0.16944,1.46828,1.50032,1.5174,0.00108167,0.00108167,0.00108167
6,162.547,1.36498,1.35466,1.42307,0.58442,0.15132,0.14443,0.06703,1.92821,2.60618,1.76022,0.00107434,0.00107434,0.00107434
7,188.35,1.34554,1.30513,1.38455,0.67358,0.25709,0.29233,0.14479,1.69439,1.72692,1.55924,0.001067,0.001067,0.001067
8,218.947,1.28018,1.23311,1.35821,0.48481,0.41992,0.47347,0.2786,1.59018,1.58749,1.52041,0.00105967,0.00105967,0.00105967
9,252.741,1.3232,1.22021,1.4152,0.42866,0.47297,0.47937,0.29889,1.35154,1.45321,1.37339,0.00105234,0.00105234,0.00105234
10,285.97,1.29477,1.26155,1.40207,0.37874,0.65447,0.49587,0.30683,1.38995,1.3202,1.40319,0.00104501,0.00104501,0.00104501
11,317.914,1.21756,1.0666,1.34238,0.32231,0.7288,0.45656,0.25996,1.44378,1.20579,1.46217,0.00103767,0.00103767,0.00103767
12,346.754,1.26748,1.07407,1.36721,0.46675,0.80519,0.55664,0.30391,1.48493,1.53886,1.44394,0.00103034,0.00103034,0.00103034
13,376.74,1.24678,1.00929,1.35526,0.64896,0.33247,0.46744,0.25408,1.57709,1.62524,1.54072,0.00102301,0.00102301,0.00102301
14,403.613,1.26322,1.03943,1.36781,0.41275,0.78167,0.54115,0.32384,1.40583,1.15025,1.36845,0.00101568,0.00101568,0.00101568
15,430.503,1.25985,1.01019,1.33138,0.51268,0.50592,0.49577,0.27835,1.61727,1.20471,1.46052,0.00100834,0.00100834,0.00100834
16,460.729,1.2385,0.99018,1.3077,0.60451,0.54281,0.60524,0.3562,1.48419,1.33576,1.4089,0.00100101,0.00100101,0.00100101
17,489.381,1.21597,1.0236,1.3508,0.49399,0.47901,0.48486,0.26578,1.49883,1.22389,1.43102,0.000993678,0.000993678,0.000993678
18,516.001,1.19563,1.03497,1.33528,0.44163,0.67892,0.49626,0.29883,1.49104,1.13443,1.444,0.000986346,0.000986346,0.000986346
19,545.967,1.23557,0.95712,1.34881,0.52199,0.5233,0.55464,0.35958,1.50046,1.27903,1.47979,0.000979013,0.000979013,0.000979013
20,575.301,1.19245,0.93822,1.32876,0.62677,0.51478,0.5492,0.31908,1.48747,1.26032,1.46723,0.000971681,0.000971681,0.000971681
21,604.207,1.18335,0.91711,1.33116,0.71341,0.59691,0.67013,0.3926,1.44147,1.13372,1.42453,0.000964348,0.000964348,0.000964348
22,631.266,1.18979,0.95095,1.33812,0.55949,0.6293,0.61159,0.38163,1.5196,1.27001,1.45215,0.000957015,0.000957015,0.000957015
23,657.888,1.15203,0.94129,1.2924,0.60329,0.67452,0.6199,0.37183,1.42559,1.242,1.39422,0.000949683,0.000949683,0.000949683
24,684.653,1.13634,0.91956,1.2942,0.58519,0.63495,0.65234,0.41025,1.4448,1.35413,1.42389,0.00094235,0.00094235,0.00094235
