epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.973,1.4204,2.71271,1.49506,0.50537,0.3865,0.47702,0.27972,1.45325,2.07305,1.32329,0.000409357,0.000409357,0.000409357
2,75.5951,1.35503,1.62581,1.38645,0.37038,0.56231,0.45054,0.24572,1.54838,2.2331,1.53744,0.000819209,0.000819209,0.000819209
3,106.593,1.35704,1.61631,1.389,0.10823,0.50784,0.15279,0.08919,1.51492,6.58958,1.48913,0.00122219,0.00122219,0.00122219
4,134.696,1.37229,1.41632,1.42,0.30553,0.51171,0.32293,0.18472,1.45453,2.60526,1.46099,0.00121906,0.00121906,0.00121906
5,166.531,1.38388,1.35192,1.43246,0.60576,0.28737,0.3597,0.17766,1.66739,1.8902,1.5881,0.00120875,0.00120875,0.00120875
6,200.143,1.36475,1.30577,1.41273,0.38638,0.6015,0.48383,0.28539,1.48926,1.48086,1.43152,0.00119844,0.00119844,0.00119844
7,233.162,1.38764,1.24072,1.42257,0.41623,0.45287,0.47362,0.28116,1.50454,1.37294,1.42545,0.00118812,0.00118812,0.00118812
8,266.758,1.39892,1.29905,1.40838,0.61976,0.54052,0.59419,0.32858,1.54722,1.42689,1.45452,0.00117781,0.00117781,0.00117781
9,302.814,1.28511,1.15504,1.33285,0.4168,0.69185,0.56565,0.29792,1.68878,1.32725,1.51859,0.0011675,0.0011675,0.0011675
10,331.526,1.32726,1.17287,1.37081,0.57836,0.67782,0.64745,0.36767,1.55601,1.32079,1.48709,0.00115719,0.00115719,0.00115719
11,358.935,1.28987,1.10152,1.36465,0.53276,0.68798,0.61099,0.35278,1.48112,1.19406,1.43266,0.00114688,0.00114688,0.00114688
12,386.328,1.30778,1.11225,1.37229,0.56405,0.63556,0.62436,0.37018,1.41879,1.15311,1.34384,0.00113656,0.00113656,0.00113656
13,413.912,1.27621,1.09351,1.34869,0.63535,0.73112,0.6869,0.42201,1.47721,1.14353,1.40161,0.00112625,0.00112625,0.00112625
14,441.23,1.29893,1.01805,1.37676,0.69738,0.61536,0.61966,0.37027,1.48225,1.51911,1.40421,0.00111594,0.00111594,0.00111594
15,468.321,1.27698,1.00836,1.31942,0.72515,0.55993,0.67437,0.40038,1.45803,1.29731,1.44044,0.00110563,0.00110563,0.00110563
16,495.42,1.24295,1.01768,1.30483,0.77306,0.62501,0.72172,0.45867,1.44104,1.28296,1.39338,0.00109531,0.00109531,0.00109531
17,522.586,1.23322,0.96478,1.32318,0.62866,0.6746,0.65608,0.36729,1.59672,1.11952,1.49376,0.001085,0.001085,0.001085
18,549.57,1.27291,0.9827,1.34551,0.6572,0.661,0.63427,0.3788,1.49629,1.09642,1.43712,0.00107469,0.00107469,0.00107469
19,577.924,1.23608,0.97431,1.31375,0.68204,0.65782,0.66974,0.36785,1.57577,1.28036,1.50852,0.00106437,0.00106437,0.00106437
20,605.391,1.22596,0.97359,1.30264,0.77785,0.69829,0.78718,0.45611,1.51578,1.05744,1.44497,0.00105406,0.00105406,0.00105406
21,633.198,1.20767,0.97569,1.30629,0.66611,0.72396,0.69953,0.36961,1.63129,1.30431,1.5107,0.00104375,0.00104375,0.00104375
22,661.54,1.1805,0.88901,1.24648,0.73899,0.69333,0.69673,0.40175,1.57762,1.28355,1.47336,0.00103344,0.00103344,0.00103344
23,689.791,1.17309,0.90084,1.28913,0.67167,0.65204,0.66135,0.3756,1.57518,1.16982,1.5155,0.00102312,0.00102312,0.00102312
24,717.715,1.157,0.81968,1.26775,0.65912,0.72582,0.70913,0.42893,1.46297,1.18347,1.42628,0.00101281,0.00101281,0.00101281
25,746.707,1.14342,0.84542,1.28848,0.78936,0.66551,0.77544,0.47186,1.40898,1.02213,1.39706,0.0010025,0.0010025,0.0010025
26,776.385,1.15282,0.8634,1.25791,0.73237,0.75875,0.73392,0.3964,1.56156,1.0524,1.47774,0.000992188,0.000992188,0.000992188
27,807.076,1.0881,0.81035,1.21631,0.74052,0.65342,0.7044,0.41248,1.48724,1.16417,1.43155,0.000981875,0.000981875,0.000981875
28,837.32,1.12101,0.85206,1.24956,0.78906,0.70271,0.7879,0.4817,1.40713,0.99895,1.37879,0.000971562,0.000971562,0.000971562
29,867.435,1.13664,0.77752,1.25766,0.72487,0.79505,0.7842,0.45517,1.44098,0.99653,1.36835,0.00096125,0.00096125,0.00096125
30,896.474,1.13449,0.85756,1.24477,0.80808,0.71532,0.77964,0.45997,1.4852,0.9357,1.43397,0.000950937,0.000950937,0.000950937
31,925.339,1.14074,0.83742,1.27839,0.78188,0.69367,0.77221,0.4391,1.49779,1.10038,1.45149,0.000940625,0.000940625,0.000940625
32,953.277,1.12809,0.80908,1.24806,0.8191,0.65145,0.72908,0.45567,1.44863,1.16023,1.40658,0.000930313,0.000930313,0.000930313
33,981.368,1.08117,0.74388,1.25439,0.72058,0.68959,0.75301,0.45627,1.46604,1.16695,1.41202,0.00092,0.00092,0.00092
34,1009.99,1.12233,0.73218,1.23321,0.70293,0.70567,0.7398,0.41798,1.54308,1.13999,1.45348,0.000909688,0.000909688,0.000909688
35,1038.46,1.10165,0.73506,1.23709,0.76012,0.74895,0.76316,0.43978,1.47807,1.05587,1.41262,0.000899375,0.000899375,0.000899375
36,1067.58,1.06664,0.74289,1.20657,0.7125,0.62509,0.68875,0.42287,1.40458,1.10569,1.37846,0.000889062,0.000889062,0.000889062
37,1096.6,1.11161,0.76879,1.25958,0.78715,0.66978,0.72576,0.42881,1.48102,1.09932,1.42719,0.00087875,0.00087875,0.00087875
38,1123.98,1.06947,0.73939,1.22999,0.76586,0.73929,0.76988,0.4638,1.42976,1.08232,1.40574,0.000868437,0.000868437,0.000868437
39,1151.17,1.06403,0.72745,1.21019,0.57444,0.66427,0.6481,0.41024,1.40585,1.39037,1.4004,0.000858125,0.000858125,0.000858125
40,1178.61,1.07956,0.7039,1.21338,0.8527,0.7395,0.78661,0.4603,1.41122,1.19885,1.41768,0.000847813,0.000847813,0.000847813
41,1207.33,1.05964,0.70355,1.21426,0.67844,0.68412,0.66289,0.40624,1.44269,1.43537,1.42402,0.0008375,0.0008375,0.0008375
42,1235.27,1.06884,0.6958,1.22252,0.79693,0.63457,0.72922,0.45226,1.44138,1.19423,1.42081,0.000827187,0.000827187,0.000827187
43,1262.81,1.04793,0.69728,1.19947,0.84013,0.60226,0.72626,0.44547,1.41219,1.33232,1.40301,0.000816875,0.000816875,0.000816875
44,1291.09,1.01164,0.6778,1.19135,0.76168,0.75337,0.7617,0.46499,1.37325,1.13334,1.38038,0.000806562,0.000806562,0.000806562
45,1319.02,1.01991,0.67702,1.18952,0.77146,0.68514,0.74543,0.45329,1.31902,1.14603,1.3213,0.00079625,0.00079625,0.00079625
46,1347.05,1.01622,0.68359,1.17577,0.72347,0.70107,0.72554,0.43075,1.35606,1.26271,1.35599,0.000785938,0.000785938,0.000785938
47,1375.34,1.01284,0.66828,1.17861,0.74599,0.73686,0.73425,0.438,1.40585,1.20564,1.39738,0.000775625,0.000775625,0.000775625
48,1403.39,0.99993,0.67489,1.18984,0.75951,0.72113,0.75611,0.45334,1.40421,1.16401,1.41963,0.000765313,0.000765313,0.000765313
49,1431.69,1.00487,0.65584,1.18301,0.79902,0.72285,0.74812,0.44466,1.47028,1.11867,1.45429,0.000755,0.000755,0.000755
50,1461.8,1.00751,0.63182,1.19438,0.79342,0.76284,0.79251,0.46822,1.38115,1.11049,1.41359,0.000744688,0.000744688,0.000744688
51,1492.9,0.98595,0.61468,1.1783,0.7538,0.75639,0.79139,0.48126,1.36136,0.97464,1.38514,0.000734375,0.000734375,0.000734375
52,1521.89,0.98287,0.63416,1.17755,0.74726,0.72799,0.74791,0.42352,1.44673,1.3091,1.4658,0.000724062,0.000724062,0.000724062
53,1550.95,0.95923,0.62084,1.16858,0.77049,0.72842,0.7585,0.45671,1.42002,1.20776,1.44909,0.00071375,0.00071375,0.00071375
54,1580.22,0.94611,0.61921,1.13593,0.82418,0.74657,0.77234,0.45765,1.42532,1.08036,1.42879,0.000703437,0.000703437,0.000703437
55,1610.62,0.95889,0.61758,1.14645,0.73013,0.76133,0.7327,0.4192,1.45341,1.11534,1.4469,0.000693125,0.000693125,0.000693125
56,1640.47,0.94691,0.60397,1.14337,0.7772,0.77521,0.78288,0.43569,1.50104,1.22395,1.51967,0.000682813,0.000682813,0.000682813
57,1669.36,0.93937,0.59378,1.14495,0.86104,0.69214,0.78923,0.45587,1.45021,1.19789,1.47584,0.0006725,0.0006725,0.0006725
58,1700.22,0.94056,0.60156,1.14291,0.78757,0.74053,0.78626,0.45273,1.44185,1.10104,1.44167,0.000662188,0.000662188,0.000662188
59,1727.67,0.93407,0.59409,1.13445,0.83318,0.70831,0.82481,0.47637,1.38373,1.00408,1.4305,0.000651875,0.000651875,0.000651875
60,1756.3,0.94734,0.59491,1.15922,0.72584,0.78471,0.74908,0.42778,1.41352,1.20815,1.51081,0.000641562,0.000641562,0.000641562
61,1787.06,0.90175,0.56829,1.12565,0.79356,0.72194,0.75019,0.45243,1.40006,1.21031,1.45999,0.00063125,0.00063125,0.00063125
62,1817.63,0.87728,0.56815,1.10477,0.78476,0.72618,0.76047,0.44894,1.4573,1.21659,1.49433,0.000620938,0.000620938,0.000620938
63,1846.85,0.88981,0.57056,1.11787,0.71697,0.71913,0.73068,0.42444,1.4861,1.05705,1.50108,0.000610625,0.000610625,0.000610625
64,1875.83,0.91124,0.58656,1.1412,0.78219,0.80742,0.78374,0.4635,1.40299,0.99358,1.43249,0.000600313,0.000600313,0.000600313
65,1905.66,0.87237,0.55253,1.10574,0.80468,0.70144,0.76615,0.44148,1.44512,1.15036,1.46069,0.00059,0.00059,0.00059
66,1935.57,0.88123,0.57237,1.09947,0.81145,0.8147,0.79325,0.46348,1.44392,1.06118,1.44087,0.000579688,0.000579688,0.000579688
67,1964.48,0.87513,0.55994,1.1108,0.82634,0.76923,0.79092,0.45586,1.44242,1.05635,1.48419,0.000569375,0.000569375,0.000569375
68,1994.12,0.86871,0.55139,1.09912,0.7362,0.71299,0.72841,0.40741,1.47922,1.28335,1.50837,0.000559062,0.000559062,0.000559062
69,2023.85,0.85488,0.53326,1.08807,0.7485,0.69529,0.67902,0.38439,1.4937,1.29945,1.49751,0.00054875,0.00054875,0.00054875
70,2053.83,0.83743,0.54458,1.08812,0.74727,0.67637,0.70055,0.40453,1.44921,1.42763,1.44801,0.000538438,0.000538438,0.000538438
71,2084.44,0.83741,0.50787,1.0669,0.75279,0.72274,0.70866,0.42446,1.43183,1.17957,1.45816,0.000528125,0.000528125,0.000528125
72,2115.9,0.82588,0.50381,1.07127,0.82218,0.70005,0.75579,0.44601,1.45875,1.1519,1.47349,0.000517813,0.000517813,0.000517813
73,2143.77,0.79184,0.49124,1.05902,0.7903,0.71213,0.73575,0.4242,1.49222,1.23717,1.52086,0.0005075,0.0005075,0.0005075
74,2171.97,0.82447,0.51726,1.08125,0.86776,0.65441,0.79175,0.44699,1.47159,1.31467,1.5182,0.000497188,0.000497188,0.000497188
75,2200.37,0.82793,0.52776,1.07366,0.81841,0.66421,0.74753,0.43705,1.40254,1.17139,1.44308,0.000486875,0.000486875,0.000486875
76,2227.76,0.81597,0.5227,1.07495,0.80773,0.70865,0.72675,0.42366,1.4012,1.30129,1.48084,0.000476562,0.000476562,0.000476562
77,2255.08,0.80568,0.50984,1.07346,0.80313,0.69787,0.70016,0.40905,1.50634,1.32088,1.57416,0.00046625,0.00046625,0.00046625
78,2282.54,0.80048,0.51859,1.06423,0.76569,0.72208,0.70491,0.41413,1.46319,1.23189,1.51415,0.000455937,0.000455937,0.000455937
79,2310.46,0.77312,0.50724,1.06227,0.76442,0.74656,0.71967,0.42563,1.41588,1.18758,1.46633,0.000445625,0.000445625,0.000445625
80,2338.68,0.78598,0.4867,1.0453,0.76352,0.74131,0.7262,0.42013,1.46697,1.25194,1.50528,0.000435312,0.000435312,0.000435312
81,2367.44,0.78117,0.49085,1.0553,0.75405,0.70368,0.72129,0.41718,1.47458,1.15758,1.50172,0.000425,0.000425,0.000425
82,2394.98,0.76836,0.48928,1.04699,0.75198,0.74258,0.71671,0.42785,1.41601,1.22851,1.4719,0.000414688,0.000414688,0.000414688
83,2423.43,0.73955,0.46701,1.03597,0.82373,0.72345,0.75262,0.44116,1.46436,1.23682,1.52747,0.000404375,0.000404375,0.000404375
84,2450.85,0.74861,0.45986,1.01967,0.75396,0.7719,0.77634,0.46904,1.44044,1.21002,1.50476,0.000394063,0.000394063,0.000394063
85,2478.57,0.72697,0.46545,1.02519,0.8098,0.75734,0.79317,0.46855,1.45362,1.09422,1.51174,0.00038375,0.00038375,0.00038375
86,2505.75,0.7456,0.46927,1.04357,0.82561,0.70714,0.75668,0.43663,1.48709,1.24614,1.51822,0.000373437,0.000373437,0.000373437
87,2532.75,0.73382,0.44905,1.03555,0.78042,0.75437,0.76067,0.43373,1.41491,1.21129,1.47315,0.000363125,0.000363125,0.000363125
88,2559.81,0.71428,0.45569,1.03075,0.81285,0.78201,0.77652,0.46123,1.39477,1.2343,1.49917,0.000352812,0.000352812,0.000352812
89,2587.11,0.72809,0.44808,1.03225,0.83827,0.7065,0.76574,0.46249,1.44639,1.25103,1.54278,0.0003425,0.0003425,0.0003425
