epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.396,1.45154,3.18236,1.57442,0.43634,0.62694,0.58426,0.32172,1.40785,2.09874,1.3821,0.00040625,0.00040625,0.00040625
2,65.6834,1.3317,1.70158,1.44025,0.49583,0.16952,0.22656,0.09563,1.82526,4.16271,1.89742,0.000812733,0.000812733,0.000812733
3,93.0208,1.34406,1.48625,1.41716,0.59306,0.48654,0.46902,0.18813,1.66178,6.40237,1.80106,0.0012089,0.0012089,0.0012089
4,119.681,1.45088,1.53347,1.50446,0.60946,0.34586,0.44924,0.20739,1.71832,6.28498,1.78619,0.00120359,0.00120359,0.00120359
5,146.394,1.36932,1.26459,1.4576,0.67463,0.54212,0.58375,0.34015,1.63645,2.21904,1.62984,0.00118812,0.00118812,0.00118812
6,173.352,1.33722,1.20021,1.45309,0.66944,0.41802,0.49508,0.26742,1.5865,1.22086,1.5619,0.00117266,0.00117266,0.00117266
7,201.01,1.32433,1.14596,1.3997,0.61059,0.4505,0.5579,0.3185,1.41653,1.36129,1.4093,0.00115719,0.00115719,0.00115719
8,228.066,1.32496,1.14972,1.41159,0.5756,0.73967,0.61161,0.34469,1.54609,1.26092,1.49259,0.00114172,0.00114172,0.00114172
9,255.084,1.27796,1.09441,1.37658,0.32789,0.7766,0.55783,0.30161,1.63197,2.21414,1.5951,0.00112625,0.00112625,0.00112625
10,279.919,1.25788,1.0516,1.3717,0.81134,0.35324,0.46171,0.27775,1.65118,1.83384,1.614,0.00111078,0.00111078,0.00111078
11,300.434,1.27646,0.99348,1.40549,0.51232,0.76718,0.74707,0.40206,1.63743,1.31709,1.56523,0.00109531,0.00109531,0.00109531
12,322.004,1.31334,1.10182,1.39633,0.48647,0.50383,0.58851,0.29327,1.63392,1.17293,1.48309,0.00107984,0.00107984,0.00107984
13,345.683,1.2522,0.99256,1.3621,0.74089,0.79134,0.74857,0.4122,1.52751,1.0332,1.45013,0.00106437,0.00106437,0.00106437
14,376.165,1.25678,1.00719,1.33379,0.62917,0.74635,0.70016,0.42564,1.50181,1.05976,1.47182,0.00104891,0.00104891,0.00104891
15,402.053,1.26016,0.9432,1.39473,0.65693,0.62709,0.66055,0.39901,1.49318,1.24679,1.43327,0.00103344,0.00103344,0.00103344
16,427.416,1.22178,0.86098,1.34957,0.75114,0.72771,0.77094,0.45386,1.56568,1.04746,1.45695,0.00101797,0.00101797,0.00101797
17,453.052,1.24821,0.87402,1.38526,0.73893,0.6354,0.71076,0.45119,1.53723,1.1621,1.48305,0.0010025,0.0010025,0.0010025
18,476.831,1.22442,0.89082,1.35632,0.66744,0.76177,0.72941,0.43978,1.69109,1.09746,1.56563,0.000987031,0.000987031,0.000987031
19,503.791,1.17832,0.87299,1.3053,0.76428,0.75328,0.79459,0.47402,1.56134,1.05157,1.44284,0.000971562,0.000971562,0.000971562
20,531.723,1.18503,0.83217,1.30858,0.70147,0.79048,0.82401,0.50063,1.54451,0.99948,1.47467,0.000956094,0.000956094,0.000956094
21,561.041,1.13822,0.81086,1.30922,0.71782,0.60849,0.70571,0.38914,1.53245,1.1896,1.44583,0.000940625,0.000940625,0.000940625
22,592.113,1.14431,0.85892,1.29595,0.68878,0.59408,0.68709,0.39711,1.61058,1.10905,1.49213,0.000925156,0.000925156,0.000925156
23,623.435,1.21475,0.89615,1.34576,0.66778,0.81453,0.7783,0.46406,1.54719,1.03385,1.46083,0.000909688,0.000909688,0.000909688
24,650.039,1.1059,0.78023,1.27155,0.68689,0.72761,0.74104,0.47336,1.4936,1.25964,1.42824,0.000894219,0.000894219,0.000894219
25,678.19,1.14957,0.80168,1.30465,0.82653,0.76864,0.79232,0.50349,1.57464,1.31078,1.50111,0.00087875,0.00087875,0.00087875
26,704.184,1.09967,0.73962,1.27708,0.80086,0.74967,0.79728,0.50344,1.53764,1.33955,1.46602,0.000863281,0.000863281,0.000863281
27,730.613,1.06112,0.70397,1.23687,0.87805,0.71144,0.77367,0.47738,1.53936,1.08518,1.46707,0.000847813,0.000847813,0.000847813
28,760.945,1.09496,0.72453,1.26955,0.80204,0.80261,0.8259,0.52373,1.51405,1.13921,1.43052,0.000832344,0.000832344,0.000832344
29,787.923,1.10804,0.71966,1.30676,0.72269,0.70949,0.76737,0.50696,1.52446,1.13127,1.41645,0.000816875,0.000816875,0.000816875
30,811.794,1.14509,0.76334,1.28881,0.78008,0.68132,0.80552,0.47702,1.63593,1.23918,1.50873,0.000801406,0.000801406,0.000801406
